commonName,scientificName,webpage,imageUrl,attribution,licenseCode,licenseUrl
Amberjack,Seriola dumerili,https://commons.wikimedia.org/wiki/File:Fish4446_-_Flickr_-_NOAA_Photo_Library.jpg,https://upload.wikimedia.org/wikipedia/commons/2/29/Fish4446_-_Flickr_-_NOAA_Photo_Library.jpg,"Greater amberjack ( Seriola dumerili ). Gulf of Mexico. By SEFSC Pascagoula Laboratory; Collection of Brandi Noble, NOAA/NMFS/SEFSC.",Public Domain,
Australian bass,Macquaria novemaculeata,http://fishesofaustralia.net.au/home/species/3233,http://fishesofaustralia.net.au/Images/Image/MacquarNovemaculDavidPaul.jpg,"An Australian Bass, Macquaria novemaculeata, from the Mitchell River, Victoria. By David Paul / Museum Victoria.",CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
Australian bonito,Sarda australis,,,,,
Barred cheek coral trout,Plectropomus maculatus,http://fishesofaustralia.net.au/home/species/4519,http://fishesofaustralia.net.au/Images/Image/PlectropomMaculatusKennethKFoster.jpg,"A Barcheek Coral Trout, Plectropomus maculatus, from Pearl Reef off Innisfail, Great Barrier Reef, Queensland. By Kenneth Foster / Atlas of Living Australia.",CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
Barred javelin,Pomadasys kaakan,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Pomadasys&Species=kaakan#,http://d1iraxgbwuhpbw.cloudfront.net/tools/uploadphoto/uploads/1375689534_182.52.96.47.jpg,"Thailand, Kampuan mangrove forest at Amphoe Suksamran, Ranong province, southern Thailand, 2010, 120.5mmSL , by Sahat Ratmuangkhwang.",CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
Barred queenfish,Scomberoides tala,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Scomberoides&Species=tala#,http://d1iraxgbwuhpbw.cloudfront.net/tools/uploadphoto/uploads/1383499001_182.178.79.98.jpg,"Pakistan, Karachi, 1-11-13, 57 cm, by Hamid Badar Osmany.",CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
Bartailed flathead,Platycephalus indicus,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Platycephalus&Species=indicus#,http://d1iraxgbwuhpbw.cloudfront.net/tools/uploadphoto/uploads/1382639345_182.178.109.120.jpg,"Pakistan, Karachi, 24-10-2013, 27 cm, by Hamid Badar Osmany.
",CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
,,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Platycephalus&Species=indicus#,http://d1iraxgbwuhpbw.cloudfront.net/tools/uploadphoto/uploads/1355298401_182.52.97.59.jpg,"Thailand, Kampuan mangrove forest at Amphoe Suksamran, Ranong province, southern Thailand, 2010, 95.4mmSL, by Sahat Ratmuangkhwang.",CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
Bigeye trevally,Caranx sexfasciatus,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Caranx&Species=sexfasciatus#,http://d1iraxgbwuhpbw.cloudfront.net/tools/uploadphoto/uploads/1415682009_118.103.236.195.jpg,"Pakistan, Off Ghora Bari, Sindh, 6th November 2014, by Muhammad Moazzam Khan.",CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
Black jewfish,Protonibea diacanthus,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Protonibea&Species=diacanthus#,http://d1iraxgbwuhpbw.cloudfront.net/tools/uploadphoto/uploads/1367063253_182.178.95.31.jpg,"Pakistan, Indian ocean,RV Fridtjofnanason,16-10-11-2010,, by Hamid Badar Osmany.",CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
Blackbanded amberjack,Seriolina nigrofasciata,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Seriolina&Species=nigrofasciata#,http://d1iraxgbwuhpbw.cloudfront.net/tools/uploadphoto/uploads/1486626564_172.68.106.90.jpg,"Thailand, Kuraburi Fishing Pier, Kurabur of Phang Nga, Andaman coast of Thailand, Collected in Feb-June 2016, 106 mm SL, by Sahat Ratmuangkhwang (Andaman Coastal Research Station for Development, Faculty of Fisheries, Kasetsart University).",CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
Blackspotted rockcod (estuary cod),Epinephelus malabaricus,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Epinephelus&Species=malabaricus#,http://d1iraxgbwuhpbw.cloudfront.net/tools/uploadphoto/uploads/1372097674_182.178.125.98.jpg,"Pakistan, Karachi, 20-6-13, 34 cm, by Hamid Badar Osmany.",CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
Blue threadfin,Eleutheronema tetradactylum,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Eleutheronema&Species=tetradactylum#,http://d1iraxgbwuhpbw.cloudfront.net/tools/uploadphoto/uploads/1458209259_210.212.251.114.jpg,"India, Mandapam(Palk bay), 11 March 2016, TL 29cm, by Raju Saravanan.",CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
Cobia,Rachycentron canadum,http://fishesofaustralia.net.au/home/species/4421,http://fishesofaustralia.net.au/Images/Image/RachycentronCanadum.jpg,"A female broodstock Cobia, Rachycentron canadum, approximately 8 kilograms in weight. By Rosenstiel School of Marine and Atmospheric Science.",CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
Diamondscale mullet,Ellochelon vaigiensis,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Ellochelon&Species=vaigiensis#,http://d1iraxgbwuhpbw.cloudfront.net/tools/uploadphoto/uploads/1365438549_182.178.107.70.jpg,"Pakistan, Karachi, 14-9-2011, 30 cm, by Hamid Badar Osmany.",CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
