class,dataset size,test size,num correct,correct percentage,correct percentage,correct percentage,Average percentage,,Old average percentage,Old dataset size
amberjack,323,37,16,43.2432432432,48.6486486486,32.4324324324,41.4414414414,,54.0540540541,323
australian bass,378,40,25,62.5,75,55,64.1666666667,,69.1666666667,378
australian bonito,57,7,4,57.1428571429,57.1428571429,57.1428571429,57.1428571429,,57.1428571429,57
barramundi,575,50,38,76,46,66,62.6666666667,,62,575
barred cheek coral trout,155,14,13,92.8571428571,92.8571428571,92.8571428571,92.8571428571,,92.8571428571,155
barred javelin,97,11,4,36.3636363636,54.5454545455,54.5454545455,48.4848484848,,51.5151515152,97
barred queenfish,12,1,0,0,0,0,0,,0,12
bartailed flathead,192,15,7,46.6666666667,60,73.3333333333,60,,57.7777777778,192
beach,17,2,1,50,50,50,50,,50,17
bigeye trevally,60,4,0,0,0,0,0,,0,60
black jewfish,138,13,7,53.8461538462,53.8461538462,53.8461538462,53.8461538462,,56.4102564103,138
blackbanded amberjack,40,3,3,100,100,100,100,,100,40
blackspotted rockcod,73,6,5,83.3333333333,66.6666666667,66.6666666667,72.2222222222,,55.5555555556,73
blue threadfin,80,8,4,50,62.5,50,54.1666666667,,79.1666666667,80
boat,62,6,2,33.3333333333,33.3333333333,16.6666666667,27.7777777778,,44.4444444444,62
cobia,484,55,37,67.2727272727,67.2727272727,85.4545454545,73.3333333333,,66.6666666667,395
diamondscale mullet,72,7,4,57.1428571429,57.1428571429,57.1428571429,57.1428571429,,61.9047619048,72
dusky flathead,507,45,32,71.1111111111,64.4444444444,73.3333333333,69.6296296296,,70.3703703704,507
frypan bream,16,3,1,33.3333333333,33.3333333333,33.3333333333,33.3333333333,,33.3333333333,16
giant queenfish,192,26,9,34.6153846154,46.1538461538,42.3076923077,41.0256410256,,64.1025641026,192
giant trevally,617,60,38,63.3333333333,81.6666666667,95,80,,72.2222222222,617
golden snapper fingermark,516,48,37,77.0833333333,75,77.0833333333,76.3888888889,,73.6111111111,516
golden trevally,585,58,47,81.0344827586,68.9655172414,62.0689655172,70.6896551724,,74.7126436782,585
goldenline whiting,9,1,1,100,0,0,33.3333333333,,33.3333333333,9
goldspotted rockcod,53,8,5,62.5,50,50,54.1666666667,,66.6666666667,53
grass emperor sweetlip,82,11,7,63.6363636364,54.5454545455,54.5454545455,57.5757575758,,42.4242424242,82
great barracuda,736,83,64,77.1084337349,80.7228915663,83.1325301205,80.3212851406,,75.9259259259,629
grey mackerel,23,2,1,50,50,50,50,,50,23
highfin amberjack,128,21,13,61.9047619048,57.1428571429,61.9047619048,60.3174603175,,57.1428571429,128
king threadfin,103,9,3,33.3333333333,33.3333333333,44.4444444444,37.037037037,,37.037037037,103
leaping bonito,54,5,1,20,40,40,33.3333333333,,53.3333333333,54
lesser queenfish,71,9,2,22.2222222222,44.4444444444,22.2222222222,29.6296296296,,33.3333333333,71
longtail tuna,397,44,23,52.2727272727,50,15.9090909091,39.3939393939,,28.0303030303,397
luderick,231,26,19,73.0769230769,76.9230769231,76.9230769231,75.641025641,,74.358974359,231
mackerel tuna,188,20,6,30,70,50,50,,48.3333333333,188
mahi mahi,535,59,52,88.1355932203,88.1355932203,81.3559322034,85.8757062147,,81.3559322034,535
mangrove jack,809,103,67,65.0485436893,63.1067961165,74.7572815534,67.6375404531,,66.9902912621,809
mulloway,372,37,16,43.2432432432,35.1351351351,24.3243243243,34.2342342342,,33.3333333333,372
needleskin queenfish,72,12,6,50,58.3333333333,66.6666666667,58.3333333333,,61.1111111111,72
northern sand flathead,16,4,1,25,25,25,25,,25,16
northern whiting,51,4,3,75,75,75,75,,75,51
pearl perch,149,15,11,73.3333333333,73.3333333333,60,68.8888888889,,73.3333333333,149
