class,dataset size,test size,num correct,correct percentage
amberjack,323,37,12,32.432432432432435
australian bass,378,40,22,55.00000000000001
australian bonito,57,7,4,57.14285714285714
barramundi,575,50,33,66.0
barred cheek coral trout,155,14,13,92.85714285714286
barred javelin,97,11,6,54.54545454545454
barred queenfish,12,1,0,0.0
bartailed flathead,192,15,11,73.33333333333333
beach,17,2,1,50.0
bigeye trevally,60,4,0,0.0
black jewfish,138,13,7,53.84615384615385
blackbanded amberjack,40,3,3,100.0
blackspotted rockcod,73,6,4,66.66666666666666
blue threadfin,80,8,4,50.0
boat,62,6,1,16.666666666666664
cobia,484,55,47,85.45454545454545
diamondscale mullet,72,7,4,57.14285714285714
dusky flathead,507,45,33,73.33333333333333
frypan bream,16,3,1,33.33333333333333
giant queenfish,192,26,11,42.30769230769231
giant trevally,617,60,57,95.0
golden snapper fingermark,516,48,37,77.08333333333334
golden trevally,585,58,36,62.06896551724138
goldenline whiting,9,1,0,0.0
goldspotted rockcod,53,8,4,50.0
grass emperor sweetlip,82,11,6,54.54545454545454
great barracuda,736,83,69,83.13253012048193
grey mackerel,23,2,1,50.0
highfin amberjack,128,21,13,61.904761904761905
king threadfin,103,9,4,44.44444444444444
leaping bonito,54,5,2,40.0
lesser queenfish,71,9,2,22.22222222222222
longtail tuna,397,44,7,15.909090909090908
luderick,231,26,20,76.92307692307693
mackerel tuna,188,20,10,50.0
mahi mahi,535,59,48,81.35593220338984
mangrove jack,809,103,77,74.75728155339806
mulloway,372,37,9,24.324324324324326
needleskin queenfish,72,12,8,66.66666666666666
northern sand flathead,16,4,1,25.0
northern whiting,51,4,3,75.0
pearl perch,149,15,9,60.0
people,48,2,0,0.0
pikey bream,34,6,1,16.666666666666664
river,245,26,22,84.61538461538461
river garfish,16,2,0,0.0
river perch,2,0,0,0
samsonfish,259,20,8,40.0
sand whiting,81,7,4,57.14285714285714
scaly jewfish,3,1,0,0.0
school mackerel,57,6,0,0.0
scribbled rabbitfish,90,9,8,88.88888888888889
sea,91,4,4,100.0
sea mullet,185,17,13,76.47058823529412
shark mackerel,70,5,3,60.0
silver javelin,24,4,1,25.0
silver jewfish,32,4,2,50.0
small spotted dart,84,8,6,75.0
snapper,448,46,37,80.43478260869566
snub nosed dart,347,46,32,69.56521739130434
snubnose garfish,10,1,0,0.0
spanish mackerel,454,45,28,62.22222222222222
spotted mackerel,122,13,3,23.076923076923077
stout whiting,10,3,2,66.66666666666666
striped barracuda,87,8,4,50.0
swallow tailed dart,10,1,0,0.0
tailor,591,52,21,40.38461538461539
tarwhine,77,4,2,50.0
teraglin,66,6,3,50.0
three by two garfish,10,1,0,0.0
trumpeter whiting,20,3,0,0.0
wahoo,181,19,9,47.368421052631575
wolf herring,103,12,2,16.666666666666664
yellowfin bream,115,16,10,62.5
yellowfin tuna,475,46,32,69.56521739130434
yellowtail kingfish,603,69,31,44.927536231884055
yellowtailed flathead,5,1,0,0.0
