class,dataset size,test size,num correct,correct percentage,correct percentage,correct percentage,average percentage,,old average percentage,Old dataset size
amberjack,323,37,19,51.3513513514,48.6486486486,24.3243243243,41.4414414414,,41.4414414414,323
australian bass,378,40,27,67.5,50,80,65.8333333333,,65.8333333333,378
australian bonito,57,7,4,57.1428571429,57.1428571429,57.1428571429,57.1428571429,,57.1428571429,57
barramundi,575,50,36,72,82,72,75.3333333333,,75.3333333333,575
barred cheek coral trout,155,14,13,92.8571428571,92.8571428571,92.8571428571,92.8571428571,,92.8571428571,155
barred javelin,97,11,8,72.7272727273,63.6363636364,72.7272727273,69.696969697,,69.696969697,97
barred queenfish,12,1,0,0,0,0,0,,0,12
bartailed flathead,192,15,4,26.6666666667,33.3333333333,53.3333333333,37.7777777778,,37.7777777778,192
beach,17,2,1,50,50,50,50,,50,17
bigeye trevally,60,4,1,25,25,25,25,,25,60
black jewfish,138,13,3,23.0769230769,23.0769230769,38.4615384615,28.2051282051,,28.2051282051,138
blackbanded amberjack,40,3,3,100,100,100,100,,100,40
blackspotted rockcod,73,6,4,66.6666666667,50,66.6666666667,61.1111111111,,61.1111111111,73
blue threadfin,80,8,4,50,62.5,62.5,58.3333333333,,58.3333333333,80
boat,62,6,2,33.3333333333,50,66.6666666667,50,,50,62
cobia,484,55,39,70.9090909091,58.1818181818,61.8181818182,63.6363636364,,63.6363636364,484
diamondscale mullet,72,7,5,71.4285714286,57.1428571429,57.1428571429,61.9047619048,,61.9047619048,72
dusky flathead,507,45,36,80,68.8888888889,62.2222222222,70.3703703704,,70.3703703704,507
frypan bream,16,3,1,33.3333333333,33.3333333333,33.3333333333,33.3333333333,,33.3333333333,16
giant queenfish,192,26,17,65.3846153846,50,69.2307692308,61.5384615385,,61.5384615385,192
giant trevally,617,60,45,75,73.3333333333,80,76.1111111111,,76.1111111111,617
golden snapper fingermark,516,48,39,81.25,81.25,75,79.1666666667,,79.1666666667,516
