class,class size,val size,val correct,val percentage
amberjack,331,32,16,50.0
australian_bass,787,76,51,67.10526315789474
australian_bonito,57,6,1,16.666666666666664
barramundi,651,63,39,61.904761904761905
barred_cheek_coral_trout,159,15,13,86.66666666666667
barred_javelin,113,11,2,18.181818181818183
barred_queenfish,14,2,2,100.0
bartailed_flathead,192,19,12,63.1578947368421
beach,376,36,35,97.22222222222221
bigeye_trevally,96,6,5,83.33333333333334
black_jewfish,142,14,9,64.28571428571429
blackbanded_amberjack,40,4,4,100.0
blackspotted_rockcod_estuary_cod,87,8,6,75.0
blue_threadfin,96,9,3,33.33333333333333
boat,1047,102,91,89.2156862745098
cobia,533,48,36,75.0
diamondscale_mullet,72,8,4,50.0
dusky_flathead,636,61,44,72.1311475409836
frypan_bream,16,2,0,0.0
giant_queenfish,205,20,13,65.0
giant_trevally,645,62,46,74.19354838709677
golden_snapper_fingermark,522,51,40,78.43137254901961
golden_trevally,601,58,47,81.03448275862068
goldenline_whiting,12,2,0,0.0
goldspotted_rockcod_estuary_cod,64,7,4,57.14285714285714
grass_emperor_sweetlip,86,8,3,37.5
great_barracuda,749,72,48,66.66666666666666
grey_mackerel,22,3,0,0.0
highfin_amberjack,129,12,3,25.0
indoors,485,46,46,100.0
king_threadfin,121,11,7,63.63636363636363
leaping_bonito,54,6,2,33.33333333333333
lesser_queenfish,72,8,4,50.0
longtail_tuna,411,40,24,60.0
luderick,236,22,18,81.81818181818183
mackerel_tuna,194,19,10,52.63157894736842
mahi_mahi,547,52,42,80.76923076923077
mangrove_jack,874,84,50,59.523809523809526
mulloway,409,39,7,17.94871794871795
needleskin_queenfish,74,8,6,75.0
northern_sand_flathead,21,3,0,0.0
northern_whiting,51,6,5,83.33333333333334
pearl_perch,159,15,11,73.33333333333333
people,936,90,87,96.66666666666667
pikey_bream,38,4,1,25.0
river,510,48,43,89.58333333333334
river_garfish,16,2,0,0.0
river_perch,5,1,0,0.0
samsonfish,274,26,12,46.15384615384615
sand_whiting,151,15,12,80.0
scaly_jewfish,3,1,0,0.0
school_mackerel,64,7,1,14.285714285714285
scribbled_rabbitfish,90,8,8,100.0
sea,313,30,26,86.66666666666667
sea_mullet,185,18,11,61.111111111111114
shark_mackerel,71,8,2,25.0
silver_javelin,25,3,2,66.66666666666666
silver_jewfish,33,4,2,50.0
small_spotted_dart,85,8,6,75.0
snapper,469,44,16,36.36363636363637
snub_nosed_dart,353,34,28,82.35294117647058
snubnose_garfish,10,1,0,0.0
spanish_mackerel,380,36,25,69.44444444444444
spotted_mackerel,125,12,2,16.666666666666664
stout_whiting,7,1,0,0.0
striped_barracuda,100,9,7,77.77777777777779
swallow_tailed_dart,10,1,0,0.0
tailor,623,60,39,65.0
tarwhine,81,8,7,87.5
teraglin,70,7,4,57.14285714285714
three_by_two_garfish,10,1,0,0.0
trumpeter_winter_whiting,20,2,2,100.0
wahoo,187,18,10,55.55555555555556
wolf_herring,111,11,8,72.72727272727273
yellowfin_bream,132,13,8,61.53846153846154
yellowfin_tuna,483,46,21,45.65217391304348
yellowtail_kingfish,615,59,37,62.71186440677966
yellowtailed_flathead,7,1,0,0.0
,,,,54.18037147499553

training accuracy,85.4196846485138
validation accuracy,68.17429661750793
