class,class size,val size,val n_correct,val accuracy
Aapticheilichthys websteri,7,1,0, 0.000
Aaptosyax grypus,61,7,0, 0.000
Abactochromis labrosus,171,21,11,52.381
Abalistes filamentosus,11,2,0, 0.000
Abalistes stellaris,105,12,0, 0.000
Abalistes stellatus,71,8,0, 0.000
Abbottina binhi,2,1,0, 0.000
Abbottina rivularis,133,16,6,37.500
Ablabys binotatus,14,2,0, 0.000
Ablabys macracanthus,56,7,0, 0.000
Ablabys taenianotus,121,15,3,20.000
Ablennes hians,141,17,5,29.412
Aboma etheostoma,24,4,3,75.000
Aborichthys elongatus,54,7,0, 0.000
Aborichthys kempi,7,1,0, 0.000
Aborichthys waikhomi,1,1,0, 0.000
Abramis brama,205,23,13,56.522
Abramites eques,49,6,0, 0.000
Abramites hypselonotus,89,10,4,40.000
Abudefduf abdominalis,94,11,3,27.273
Abudefduf bengalensis,99,12,1, 8.333
Abudefduf concolor,5,1,0, 0.000
Abudefduf conformis,2,1,0, 0.000
Abudefduf declivifrons,8,1,0, 0.000
Abudefduf hoefleri,4,1,0, 0.000
Abudefduf lorenzi,19,3,0, 0.000
Abudefduf luridus,242,29,8,27.586
Abudefduf notatus,62,7,1,14.286
Abudefduf saxatilis,195,22,8,36.364
Abudefduf septemfasciatus,101,12,2,16.667
Abudefduf sexfasciatus,273,33,27,81.818
Abudefduf sordidus,145,17,4,23.529
Abudefduf sparoides,31,4,0, 0.000
Abudefduf taurus,43,6,0, 0.000
Abudefduf troschelii,96,11,3,27.273
Abudefduf vaigiensis,148,18,8,44.444
Abudefduf whitleyi,27,4,0, 0.000
Abyssoberyx levisquamosus,2,1,0, 0.000
Abyssobrotula galatheae,81,10,0, 0.000
Acanthaluteres brownii,15,3,0, 0.000
Acanthaluteres spilomelanurus,20,3,0, 0.000
Acanthaluteres vittiger,31,4,0, 0.000
Acanthaphritis barbata,1,1,0, 0.000
Acantharchus pomotis,90,10,2,20.000
Acanthemblemaria aspera,55,7,0, 0.000
Acanthemblemaria atrata,7,2,0, 0.000
Acanthemblemaria balanorum,5,1,0, 0.000
Acanthemblemaria castroi,18,3,0, 0.000
Acanthemblemaria chaplini,2,1,0, 0.000
Acanthemblemaria crockeri,48,6,0, 0.000
